specifier,documentationURL,source,stars,downloads,name,description,version
ghcr.io/devcontainers/templates/alpine,https://github.com/devcontainers/templates/tree/main/src/alpine,,,,Alpine,Simple Alpine container with Git installed.,1.3.0
ghcr.io/devcontainers/templates/anaconda,https://github.com/devcontainers/templates/tree/main/src/anaconda,,,,Anaconda (Python 3),Develop Anaconda applications in Python3. Installs dependencies from your environment.yml file and the Python extension.,1.1.1
ghcr.io/devcontainers/templates/anaconda-postgres,https://github.com/devcontainers/templates/tree/main/src/anaconda-postgres,,,,Anaconda (Python 3) & PostgreSQL,Develop Anaconda & PostgreSQL applications in Python3. Installs dependencies from your environment.yml file and the Python extension.,1.1.3
ghcr.io/devcontainers/templates/cpp,https://github.com/devcontainers/templates/tree/main/src/cpp,,,,C++,Develop C++ applications on Linux. Includes Debian C++ build tools.,2.0.0
ghcr.io/devcontainers/templates/cpp-mariadb,https://github.com/devcontainers/templates/tree/main/src/cpp-mariadb,,,,C++ & MariaDB,Develop C++ applications on Linux. Includes Debian C++ build tools.,2.0.0
ghcr.io/devcontainers/templates/debian,https://github.com/devcontainers/templates/tree/main/src/debian,,,,Debian,Simple Debian container with Git installed.,2.1.0
ghcr.io/devcontainers/templates/docker-existing-docker-compose,https://github.com/devcontainers/templates/tree/main/src/docker-existing-docker-compose,,,,Existing Docker Compose (Extend),Sample illustrating how to extend an existing Docker Compose file for use in a dev container.,1.1.2
ghcr.io/devcontainers/templates/docker-existing-dockerfile,https://github.com/devcontainers/templates/tree/main/src/docker-existing-dockerfile,,,,Existing Dockerfile,Sample illustrating reuse of an existing Dockefile.,1.2.1
ghcr.io/devcontainers/templates/docker-in-docker,https://github.com/devcontainers/templates/tree/main/src/docker-in-docker,,,,Docker in Docker,"Create child containers _inside_ a container, independent from the host's docker instance. Installs Docker extension in the container along with needed CLIs.",1.2.0
ghcr.io/devcontainers/templates/docker-outside-of-docker,https://github.com/devcontainers/templates/tree/main/src/docker-outside-of-docker,,,,Docker outside of Docker,Access your host's Docker install from inside a dev container. Installs Docker extension in the container along with needed CLIs.,1.2.0
ghcr.io/devcontainers/templates/docker-outside-of-docker-compose,https://github.com/devcontainers/templates/tree/main/src/docker-outside-of-docker-compose,,,,Docker outside of Docker Compose,Access your host's Docker install from inside a container when using Docker Compose. Installs Docker extension in the container along with needed CLIs.,2.2.0
ghcr.io/devcontainers/templates/dotnet,https://github.com/devcontainers/templates/tree/main/src/dotnet,,,,C# (.NET),"Develop C# and .NET based applications. Includes all needed SDKs, extensions, and dependencies.",1.2.5
ghcr.io/devcontainers/templates/dotnet-fsharp,https://github.com/devcontainers/templates/tree/main/src/dotnet-fsharp,,,,F# (.NET),"Develop F# and .NET based applications. Includes all needed SDKs, extensions, and dependencies.",1.1.2
ghcr.io/devcontainers/templates/dotnet-mssql,https://github.com/devcontainers/templates/tree/main/src/dotnet-mssql,,,,C# (.NET) and MS SQL,"Develop C# and .NET Core based applications. Includes all needed SDKs, extensions, dependencies and an MS SQL container for parallel database development. Adds an additional MS SQL container to the C# (.NET Core) container definition and deploys any .dacpac files from the mssql .devcontainer folder.",1.2.6
ghcr.io/devcontainers/templates/dotnet-postgres,https://github.com/devcontainers/templates/tree/main/src/dotnet-postgres,,,,C# (.NET) and PostgreSQL,"Develop C# and .NET Core based applications. Includes all needed SDKs, extensions, dependencies and a PostgreSQL container for parallel database development. Adds an additional PostgreSQL container to the C# (.NET Core) container definition.",1.3.2
ghcr.io/devcontainers/templates/go,https://github.com/devcontainers/templates/tree/main/src/go,,,,Go,"Develop Go based applications. Includes appropriate runtime args, Go, common tools, extensions, and dependencies.",3.0.0
ghcr.io/devcontainers/templates/go-postgres,https://github.com/devcontainers/templates/tree/main/src/go-postgres,,,,Go & PostgreSQL,"Use and develop Go + Postgres applications. Includes appropriate runtime args, Go, common tools, extensions, and dependencies.",3.0.0
ghcr.io/devcontainers/templates/java,https://github.com/devcontainers/templates/tree/main/src/java,,,,Java,Develop Java applications. Includes the JDK and Java extensions.,3.0.0
ghcr.io/devcontainers/templates/java-postgres,https://github.com/devcontainers/templates/tree/main/src/java-postgres,,,,Java & PostgreSQL,Develop applications with Java and PostgreSQL. Includes a Java application container and PostgreSQL server.,3.0.0
ghcr.io/devcontainers/templates/javascript-node,https://github.com/devcontainers/templates/tree/main/src/javascript-node,,,,Node.js & JavaScript,"Develop Node.js based applications. Includes Node.js, eslint, nvm, and yarn.",3.0.0
ghcr.io/devcontainers/templates/javascript-node-mongo,https://github.com/devcontainers/templates/tree/main/src/javascript-node-mongo,,,,Node.js & Mongo DB,"Develop applications in Node.js and Mongo DB. Includes Node.js, eslint, and yarn in a container linked to a Mongo DB.",2.0.0
ghcr.io/devcontainers/templates/javascript-node-postgres,https://github.com/devcontainers/templates/tree/main/src/javascript-node-postgres,,,,Node.js & PostgreSQL,"Develop applications in Node.js and PostgreSQL. Includes Node.js, eslint, and yarn in a container linked to a Postgres DB container",3.0.0
ghcr.io/devcontainers/templates/jekyll,https://github.com/devcontainers/templates/tree/main/src/jekyll,,,,Jekyll,"Develop static sites with Jekyll, includes everything you need to get up and running.",2.1.0
ghcr.io/devcontainers/templates/kubernetes-helm,https://github.com/devcontainers/templates/tree/main/src/kubernetes-helm,,,,Kubernetes - Local Configuration,"Access a local (or remote) Kubernetes cluster from inside a dev container using your local config. Includes kubectl, Helm, and the Docker CLI.",1.3.0
ghcr.io/devcontainers/templates/kubernetes-helm-minikube,https://github.com/devcontainers/templates/tree/main/src/kubernetes-helm-minikube,,,,Kubernetes - Minikube-in-Docker,"Access an embedded minikube instance or remote a Kubernetes cluster from inside a dev container. Includes kubectl, Helm, minikube, and the Docker.",2.1.0
ghcr.io/devcontainers/templates/markdown,https://github.com/devcontainers/templates/tree/main/src/markdown,,,,Markdown,A simple container for editing markdown.,1.0.5
ghcr.io/devcontainers/templates/miniconda,https://github.com/devcontainers/templates/tree/main/src/miniconda,,,,Miniconda (Python 3),Develop Miniconda applications in Python 3. Installs dependencies from your environment.yml file and the Python extension.,1.1.1
ghcr.io/devcontainers/templates/miniconda-postgres,https://github.com/devcontainers/templates/tree/main/src/miniconda-postgres,,,,Miniconda & PostgreSQL (Python 3),Develop Miniconda & PostgreSQL applications in Python 3. Installs dependencies from your environment.yml file and the Python extension.,1.1.3
ghcr.io/devcontainers/templates/php,https://github.com/devcontainers/templates/tree/main/src/php,,,,PHP,"Develop PHP based applications. Includes needed tools, extensions, and dependencies.",2.0.0
ghcr.io/devcontainers/templates/php-mariadb,https://github.com/devcontainers/templates/tree/main/src/php-mariadb,,,,PHP & MariaDB,Develop PHP applications with MariaDB (MySQL Compatible).,2.0.0
ghcr.io/devcontainers/templates/postgres,https://github.com/devcontainers/templates/tree/main/src/postgres,,,,Python 3 & PostgreSQL,Develop applications with Python 3 and PostgreSQL. Includes a Python application container and PostgreSQL server.,2.0.1
ghcr.io/devcontainers/templates/powershell,https://github.com/devcontainers/templates/tree/main/src/powershell,,,,Powershell,Develop PowerShell scripts without installing anything locally.,1.1.0
ghcr.io/devcontainers/templates/python,https://github.com/devcontainers/templates/tree/main/src/python,,,,Python 3,Develop Python 3 applications.,2.0.1
ghcr.io/devcontainers/templates/ruby,https://github.com/devcontainers/templates/tree/main/src/ruby,,,,Ruby,Develop Ruby based applications. includes everything you need to get up and running.,2.0.0
ghcr.io/devcontainers/templates/ruby-rails-postgres,https://github.com/devcontainers/templates/tree/main/src/ruby-rails-postgres,,,,Ruby on Rails & Postgres,Develop Ruby on Rails applications with Postgres. Includes a Rails application container and PostgreSQL server.,2.0.1
ghcr.io/devcontainers/templates/rust,https://github.com/devcontainers/templates/tree/main/src/rust,,,,Rust,Develop Rust based applications. Includes appropriate runtime args and everything you need to get up and running.,2.0.0
ghcr.io/devcontainers/templates/rust-postgres,https://github.com/devcontainers/templates/tree/main/src/rust-postgres,,,,Rust & PostgreSQL,Develop applications with Rust and PostgreSQL. Includes a Rust application container and PostgreSQL server.,2.0.0
ghcr.io/devcontainers/templates/typescript-node,https://github.com/devcontainers/templates/tree/main/src/typescript-node,,,,Node.js & TypeScript,"Develop Node.js based applications in TypeScript. Includes Node.js, eslint, nvm, yarn, and the TypeScript compiler.",3.0.0
ghcr.io/devcontainers/templates/ubuntu,https://github.com/devcontainers/templates/tree/main/src/ubuntu,,,,Ubuntu,A simple Ubuntu container with Git and other common utilities installed.,1.1.0
ghcr.io/devcontainers/templates/universal,https://github.com/devcontainers/templates/tree/main/src/universal,,,,Default Linux Universal,"Use or extend the new Ubuntu-based default, large, multi-language universal container for GitHub Codespaces.",1.0.5
