submitter,specifier
@jcbhmr,ghcr.io/devcontainers/features
@jcbhmr,ghcr.io/devcontainers/templates
@jcbhmr,ghcr.io/iterative/features
@jcbhmr,ghcr.io/rocker-org/devcontainer-features
@jcbhmr,ghcr.io/rocker-org/devcontainer-templates
@jcbhmr,ghcr.io/meaningful-ooo/devcontainer-features
@jcbhmr,ghcr.io/microsoft/vscode-dev-containers
@jcbhmr,ghcr.io/mpriscella/features
@jcbhmr,ghcr.io/devcontainers-contrib/features
@jcbhmr,ghcr.io/devcontainers-contrib/templates
@jcbhmr,ghcr.io/eitsupi/devcontainer-features
@jcbhmr,ghcr.io/dhoeric/features
@jcbhmr,ghcr.io/rchaganti/vsc-devcontainer-features
@jcbhmr,ghcr.io/customink/codespaces-features
@jcbhmr,ghcr.io/stuartleeks/dev-container-features
@jcbhmr,ghcr.io/guiyomh/features
@jcbhmr,ghcr.io/natescherer/devcontainers-custom-features
@jcbhmr,ghcr.io/joshspicer/features
@jcbhmr,ghcr.io/shyim/devcontainers-features
@jcbhmr,ghcr.io/jungaretti/features
@jcbhmr,ghcr.io/tlc-sundown/devcontainers-features
@jcbhmr,ghcr.io/enricosecondulfo/devcontainer-features
@jcbhmr,ghcr.io/saml-to/devcontainer-features
@jcbhmr,ghcr.io/rjfmachado/devcontainer-features
@jcbhmr,ghcr.io/lukewiwa/features
@jcbhmr,ghcr.io/rio/features
@jcbhmr,ghcr.io/KusionStack/devcontainer-features
@jcbhmr,ghcr.io/edouard-lopez/devcontainer-features
@jcbhmr,ghcr.io/jlaundry/devcontainer-features
@jcbhmr,ghcr.io/mikaello/devcontainer-features
@jcbhmr,ghcr.io/jsburckhardt/devcontainer-features
@jcbhmr,ghcr.io/oleksis/devcontainer-features
@jcbhmr,ghcr.io/gofractally/psibase-devcontainer-template
@jcbhmr,ghcr.io/ebaskoro/devcontainer-features
@jcbhmr,ghcr.io/warrenbuckley/codespace-features
@jcbhmr,ghcr.io/roost-io/features
@jcbhmr,ghcr.io/lentzi90/features
@jcbhmr,ghcr.io/robsyme/features
@jcbhmr,devwasm.azurecr.io/dev-wasm/dev-wasm-feature
@jcbhmr,ghcr.io/shinepukur/devcontainer-features
@jcbhmr,ghcr.io/msclock/features
@jcbhmr,ghcr.io/withfig/features
@jcbhmr,ghcr.io/mamba-org/devcontainer-features
@jcbhmr,ghcr.io/astronomer/devcontainer-features
@jcbhmr,ghcr.io/eliises/devcontainer-features
@jcbhmr,ghcr.io/frntn/devcontainers-features
@jcbhmr,ghcr.io/csutter/devcontainer-templates
@jcbhmr,ghcr.io/christophermacgown/devcontainer-features
@jcbhmr,ghcr.io/balazs23/devcontainers-features
@jcbhmr,ghcr.io/pwd9000-ml/devcontainer-templates
@jcbhmr,ghcr.io/mickeahlinder/devcontainer-features
@jcbhmr,ghcr.io/jckimble/devcontainer-features
@jcbhmr,ghcr.io/torbenwetter/iu-latex-container-templates
@jcbhmr,ghcr.io/standard-io/devcontainers-templates
@jcbhmr,ghcr.io/ijnek/ros-devcontainer-template
